Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Display,Office,Warranty
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...,Acer,36990,4.1,42,10,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Home",512,N/A,N/A,3
Apple MacBook AIR M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,Apple,67599,4.6,9828,632,Apple M2 Processor,16 GB Unified Memory RAM,Mac OS,256,13.6,N/A,1
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999,4.2,14,0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB3...,Acer,17990,3.7,636,47,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,N/A,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ131WS | ...,ASUS,32990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
ASUS Vivobook Go 15 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) E510KA-EJ9011WS ...,ASUS,25990,4,1421,128,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
Infinix B15 Series AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) BL51A5 Thin and Lig...,Infinix,30990,4.1,65,10,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11,512,N/A,N/A,1
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990,4.2,6859,562,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,Office Home and Student 2021,1
