Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Display,Office,Warranty
DELL Inspiron 7440 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 7440 2-in-1 2 in 1 L...,DELL,61990,N/A,N/A,N/A,Intel Core 3 Processor,8 GB DDR5 RAM,Windows 11,512,14,N/A,1
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,4.3,1033,78,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,Lenovo,82990,4.3,333,40,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11,512,N/A,N/A,N/A
Apple M3 - (16 GB/256 GB SSD/macOS Sequoia) MC8H4HN/A,Apple,107299,4.6,630,41,Apple M3 Processor,16 GB Unified Memory RAM,Mac OS,256,13.6,N/A,1
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999,4.2,14,0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990,4.2,6859,562,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,Office Home and Student 2021,1
MSI Pulse GL66 Intel Core i7 11th Gen 11800H - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Ge...,MSI,122799,4.5,182,31,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 10,1,N/A,N/A,2
MSI Prestige 16 Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics) Prestig...,MSI,147199,N/A,N/A,N/A,Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11,1,16,N/A,2
Lenovo LOQ Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,Lenovo,102990,4.2,360,29,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11,512,15.6,Microsoft Office Home & Student 2021,N/A
MICROSOFT 12'' with Type Cover Core 8 Qualcomm Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) ...,MICROSOFT,98990,N/A,N/A,N/A,Qualcomm Snapdragon X Plus Processor,16 GB LPDDR5X RAM,64 bit Windows 11 Home,512,N/A,N/A,1
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490,4.2,475,27,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 ...",ASUS,62990,4.3,500,32,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512,15.6,N/A,1
Apple M3 - (24 GB/512 GB SSD/macOS Sequoia) MC8N4HN/A,Apple,144699,N/A,N/A,N/A,Apple M3 Processor,24 GB Unified Memory RAM,Mac OS,512,13.6,N/A,1
DELL 5400 Intel Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10) 5400 I5 8TH NON TOUCH REFURB Laptop,DELL,24957,2,5,0,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10,256,N/A,N/A,N/A
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
"Anweshas Full Panel Laptop Skins Upto 15.6 inch - No Residue, Bubble Free - Removable HD Quality Print...",Anweshas,222,3.5,86,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Anweshas Full Panel Laptop Skins Upto 15.6 inch - No Residue, Bubble Free - Removable HD Quality Print...",Anweshas,247,3.9,231,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Anweshas New Haters Pink Full Panel Laptop Skins Upto 15.6 inch - No Residue, Bubble Free - Removable ...",Anweshas,219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Finest Card Red Blue Effect Vinyl Laptop Skin Compatible for 15.6 inch,Finest,201,4.5,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
"Anweshas Full Panel Laptop Skins Upto 15.6 inch - No Residue, Bubble Free - Removable HD Quality Print...",Anweshas,222,3.3,11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Galaxsia Work Like A Captain Quote D1 Laptop Skin vinyl Laptop Skin Compatible for 15.6 inch,Galaxsia,181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PiBook PhysicsWallah MediaTek MT8788 - (6 GB/128 GB EMMC Storage/Android 11) PW-2401 Laptop,PiBook,13498,3.7,10,1,MediaTek MT8788 Processor,6 GB LPDDR4X RAM,Android,N/A,N/A,N/A,N/A
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,4.3,1033,78,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
KALARKARI Laptop Skin Buddha (yellow) Premium viny Laptop Skin/Sticker for laptops Vinyl Laptop Skin C...,KALARKARI,245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DWELLSINDIA Doodle art Art Skin for Laptops Upto 15.6 Inch (HD Quality) Vinyl Reusable Laptop Skin Com...,DWELLSINDIA,250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SellZone 100-14IBY Internal Laptop-size Laptop Keyboard Compatible with Desktop, Laptop, Mac",SellZone,2238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
1Goal USB 3.0 to Ethernet Adapter 3-Port USB 3.0 Hub with RJ45 USB 3.0 to 10/100 Wired LAN Network Ada...,1Goal,732,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999,4.2,14,0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
Anweshas Full Body Laptop Skin Sticker - Geometric Abstract Vector Self Adhesive Vinyl Reusable Laptop...,Anweshas,219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"UNIXAA Vinyl Laptop Skin Sticker 4IN1 Combo With Screen Guard, Key Guard & Case - 8017 Combo Set",UNIXAA,530,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990,4.2,6859,562,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,Office Home and Student 2021,1
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490,4.2,475,27,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
Anweshas Full Body Laptop Skin Sticker - Bar Hacker No Body Quotes Self Adhesive Vinyl Reusable Laptop...,Anweshas,215,3.8,35,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Vishanrahul MiraeTech 6 Angles Aluminum Tabletop Riser Stand for MacBook, HP, Dell, Lenovo, Notebook A...",Vishanrahul,299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,Acer,17990,3.8,6653,591,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home,256,N/A,N/A,1
Lenovo Yoga 9 4K OLED Intel Evo Intel Core i7 13th Gen 1360P - (16 GB/1 TB SSD/Windows 11 Home) 14IRP8...,Lenovo,124890,N/A,N/A,N/A,Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11,1,14,N/A,3
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
Samsung Galaxy Book4 360 Evo Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) NP750QGK-KG1IN / N...,Samsung,111699,4.4,43,3,Intel Core 5 Processor,16 GB LPDDR5 RAM,64 bit Windows 11,512,N/A,MS Office Home and Student 2021,1
MICROSOFT Surface Pro (11th Edition) AI PC Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) ZHY-...,MICROSOFT,126999,N/A,N/A,N/A,Snapdragon X Plus Processor,16 GB LPDDR5X RAM,Windows 11,512,13,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
Apple MacBook Pro M4 Max - (36 GB/1 TB SSD/macOS Sequoia) MX2K3HN/A,Apple,319900,4.8,4,0,Apple M4 Max Processor,36 GB Unified Memory RAM,Mac OS,1,14,N/A,1
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen N5100 - (4 GB/128 GB SSD/Windows 11 Home) XL30 Th...,Infinix,29990,3.9,1605,174,Intel Celeron Quad Core Processor (11th Gen),4 GB LPDDR4X RAM,Windows 11,128,15.6,N/A,1
MSI Prestige 16 Studio AI PC Intel Core Ultra 7 155H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics) ...,MSI,149990,N/A,N/A,N/A,Intel Core Ultra 7 Processor,32 GB LPDDR5 RAM,Windows 11,1,N/A,N/A,2
Colorful Evol P-15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,Colorful,99999,4.5,129,30,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11,512,15.6,N/A,2
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,4.3,1033,78,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
ASUS Intel Core 5 1st Gen - (16 GB/512 GB SSD/Windows 11 Home) X1404VAP-EB541WS Laptop,ASUS,51715,N/A,N/A,N/A,Intel Core 5 Processor (1st Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,Lenovo,97999,4.3,333,40,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11,512,15.6,Microsoft Office Home & Student 2021,N/A
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999,4.2,14,0,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,4.2,52,1,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
Lenovo IdeaPad Slim 5 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad 5 15I...,Lenovo,59490,4.3,149,17,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11,512,15.6,N/A,1
Acer Predator Helios 16 Intel Core i9 14th Gen 14900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics...,Acer,162399,4.5,33,0,Intel Core i9 Processor (14th Gen),16 GB DDR5 RAM,Windows 11,1,16,N/A,1
HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0221TU Thin and Light Laptop,HP,51890,4.1,256,15,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,N/A,N/A,1
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,Lenovo,84990,4.2,948,114,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,Windows 11,512,N/A,N/A,N/A
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990,4.2,6859,562,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,Office Home and Student 2021,1
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490,4.2,475,27,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
ASUS ROG Strix Scar 16 Intel Core i9 14th Gen 14900HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics...,ASUS,271990,N/A,N/A,N/A,Intel Core i9 Processor (14th Gen),32 GB DDR5 RAM,Windows 11,2,N/A,N/A,1
HP 15s Intel Core i5 11th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) 15s-FQ2071TU Thin and...,HP,48199,N/A,N/A,N/A,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10,512,N/A,"Microsoft Office Home & Student 2019, HP Documentation, HP CoolSense, HP SSRM, HP Smart",1
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,N/A,N/A,N/A,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,N/A,N/A,N/A,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
MSI Katana 15 HX Intel Core i9 14th Gen 14900HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,MSI,142990,N/A,N/A,N/A,Intel Core i9 Processor (14th Gen),32 GB DDR5 RAM,64 bit Windows 11,1,N/A,N/A,2
ASUS Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Pro) B3404CVAB-Q50884X Thin and Light...,ASUS,48990,N/A,N/A,N/A,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11,512,N/A,N/A,1
Acer Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A325-53 Thin and...,Acer,31990,N/A,N/A,N/A,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11,512,N/A,N/A,1
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen Integrated Intel Iris Xe Graphics - (16 GB/512 GB SSD/Win...,Lenovo,64340,N/A,N/A,N/A,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11,512,N/A,Microsoft Office 2021,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,N/A,N/A,N/A,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,N/A,N/A,N/A,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
Acer Swift 14 AI Intel Core Ultra 5 - (16 GB/512 GB SSD/Windows 11 Home) SF14-51 Thin and Light Laptop,Acer,89990,N/A,N/A,N/A,Intel Core Ultra 5 Processor,16 GB LPDDR5X RAM,Windows 11,512,14,N/A,1
MSI Katana GF66 Intel Core i7 12th Gen 12650H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,MSI,84399,N/A,N/A,N/A,Intel Core i7 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512,15.6,N/A,2
DELL Inspiron 15 MSO'24 with Backlit KB Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Ho...,DELL,66990,N/A,N/A,N/A,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512,15.6,N/A,1
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,49990,N/A,N/A,N/A,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512,15.6,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
Lenovo Intel Core i5 13th Gen - (24 GB/512 GB SSD/Windows 11 Home/NVIDIA GeForce RTX RTX 3050 6GB) 83D...,Lenovo,94990,N/A,N/A,N/A,Intel Core i5 Processor (13th Gen),24 GB DDR5 RAM,Windows 11 Home,512,N/A,N/A,1
MSI Raider A18 HX AMD Ryzen 9 16 Core 7th Gen 7945HX - (32 GB/1 TB SSD/Windows 11 Pro/12 GB Graphics/N...,MSI,269990,N/A,N/A,N/A,AMD Ryzen 9 16 Core Processor (7th Gen),32 GB DDR5 RAM,Windows 11,1,18,N/A,2
MSI Crosshair 16 HX AI Intel Core Ultra 9 275HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,MSI,205990,N/A,N/A,N/A,Intel Core Ultra 9 Processor,16 GB DDR5 RAM,64 bit Windows 11,1,16,N/A,2
ASUS Zenbook 14 OLED Intel EVO P Series Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Ho...,ASUS,104899,N/A,N/A,N/A,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11,512,N/A,Microsoft Office Home & Student 2021,1
ASUS Chromebook CX1 Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ04...,ASUS,14999,N/A,N/A,N/A,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome,N/A,15.6,N/A,1
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,Lenovo,33990,N/A,N/A,N/A,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11,512,N/A,Office Home and Student 2021,1
HP 15 (2025) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Lapto...,HP,38490,N/A,N/A,N/A,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Home",512,N/A,N/A,1
MSI Vector GP68HX Intel Core i9 13th Gen 13980HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphics/NVID...,MSI,249990,N/A,N/A,N/A,Intel Core i9 Processor (13th Gen),32 GB DDR5 RAM,Windows 11,1,16,N/A,2
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,Lenovo,45490,N/A,N/A,N/A,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Home,512,N/A,N/A,1
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",ASUS,39990,N/A,N/A,N/A,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
MSI Vector 16 HX Intel Core i7 14th Gen 14700HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,MSI,191990,N/A,N/A,N/A,Intel Core i7 Processor (14th Gen),32 GB DDR5 RAM,Windows 11,1,16,N/A,2
Anweshas Abstract Series 1075 Vinyl Laptop Skin Compatible for 15.6 inch,Anweshas,201,3.8,58,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HP 14s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy5008TU Thin and Light ...,HP,36990,3.7,94,4,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11,512,14,N/A,1
HP OMEN Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,HP,110800,N/A,N/A,N/A,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11,512,16.1,N/A,1
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",ASUS,34990,4.3,2667,160,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Home,512,N/A,"Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year",1
HP 15 Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light La...,HP,36990,4.2,962,56,Intel Core 3 Processor,8 GB DDR4 RAM,Windows 11 Home,512,15.6,MS Office Home 2024 + MISC PC Game Pass DA 3M,1
HP OMEN Intel Core i7 13th Gen 13700HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForc...,HP,176108,N/A,N/A,N/A,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11,512,16,N/A,1
HP OMEN Intel Core i7 13th Gen 13700HX - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,HP,176108,N/A,N/A,N/A,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11,512,16.1,N/A,1
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,ASUS,30990,4.3,1399,94,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home,512,15.6,Microsoft Office Home 2024 + Microsoft 365 Basic,1
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,MOTOROLA,54990,4.4,1773,194,Intel Core 5 (Series 2) Processor,16 GB DDR5 RAM,64 bit Windows 11,512,14,Office Home 2024,1
HP Envy x360 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) 15-fh0019AU Laptop,HP,87199,3.8,6,3,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR4X RAM,Windows 11,512,15.6,N/A,1
Lonaar Vinyl Laptop Decal Skin StickeSkin - FoSkin - All 15.6 Inch LaptopSkin - 2411 Vinyl Laptop Skin...,Lonaar,207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
